"","jobTitle","location","skill","count"
"365","Data Scientist","Sydney"," R ","0"
"366","Data Scientist","Sydney","Modelling","0"
"367","Data Scientist","Sydney","(C++)","110"
"368","Data Scientist","Sydney","Phd","0"
"369","Data Scientist/ Data Analytics Consultant","Brisbane","Python","2"
"370","Data Scientist/ Data Analytics Consultant","Brisbane","programming","0"
"371","Data Scientist/ Data Analytics Consultant","Brisbane","analytics","2"
"372","Data Scientist/ Data Analytics Consultant","Brisbane","mathematics","0"
"373","Data Scientist/ Data Analytics Consultant","Brisbane","machine learning","1"
"374","Data Scientist/ Data Analytics Consultant","Brisbane","team","2"
"375","Data Scientist/ Data Analytics Consultant","Brisbane","Cooperation","0"
"376","Data Scientist/ Data Analytics Consultant","Brisbane","statistics","1"
"377","Data Scientist/ Data Analytics Consultant","Brisbane","SQL","1"
"378","Data Scientist/ Data Analytics Consultant","Brisbane","communication","1"
"379","Data Scientist/ Data Analytics Consultant","Brisbane","big data","0"
"380","Data Scientist/ Data Analytics Consultant","Brisbane","design","1"
"381","Data Scientist/ Data Analytics Consultant","Brisbane","visualization","0"
"382","Data Scientist/ Data Analytics Consultant","Brisbane","Hadoop","0"
"383","Data Scientist/ Data Analytics Consultant","Brisbane","Java","1"
"384","Data Scientist/ Data Analytics Consultant","Brisbane","research","0"
"385","Data Scientist/ Data Analytics Consultant","Brisbane","creative","0"
"386","Data Scientist/ Data Analytics Consultant","Brisbane","MATLAB","0"
"387","Data Scientist/ Data Analytics Consultant","Brisbane","SAS","0"
"388","Data Scientist/ Data Analytics Consultant","Brisbane"," R ","0"
"389","Data Scientist/ Data Analytics Consultant","Brisbane","Modelling","0"
"390","Data Scientist/ Data Analytics Consultant","Brisbane","(C++)","108"
"391","Data Scientist/ Data Analytics Consultant","Brisbane","Phd","0"
"392","Senior Data Analyst/Data Scientist","Brisbane","Python","1"
"393","Senior Data Analyst/Data Scientist","Brisbane","programming","0"
"394","Senior Data Analyst/Data Scientist","Brisbane","analytics","4"
"395","Senior Data Analyst/Data Scientist","Brisbane","mathematics","0"
"396","Senior Data Analyst/Data Scientist","Brisbane","machine learning","0"
"397","Senior Data Analyst/Data Scientist","Brisbane","team","7"
"398","Senior Data Analyst/Data Scientist","Brisbane","Cooperation","0"
"399","Senior Data Analyst/Data Scientist","Brisbane","statistics","1"
"400","Senior Data Analyst/Data Scientist","Brisbane","SQL","8"
"401","Senior Data Analyst/Data Scientist","Brisbane","communication","0"
"402","Senior Data Analyst/Data Scientist","Brisbane","big data","2"
"403","Senior Data Analyst/Data Scientist","Brisbane","design","2"
"404","Senior Data Analyst/Data Scientist","Brisbane","visualization","0"
"405","Senior Data Analyst/Data Scientist","Brisbane","Hadoop","1"
"406","Senior Data Analyst/Data Scientist","Brisbane","Java","1"
"407","Senior Data Analyst/Data Scientist","Brisbane","research","0"
"408","Senior Data Analyst/Data Scientist","Brisbane","creative","0"
"409","Senior Data Analyst/Data Scientist","Brisbane","MATLAB","0"
"410","Senior Data Analyst/Data Scientist","Brisbane","SAS","1"
"411","Senior Data Analyst/Data Scientist","Brisbane"," R ","1"
"412","Senior Data Analyst/Data Scientist","Brisbane","Modelling","1"
"413","Senior Data Analyst/Data Scientist","Brisbane","(C++)","122"
"414","Senior Data Analyst/Data Scientist","Brisbane","Phd","0"
"415","Senior Data Analyst/Data Scientist","Melbourne","Python","1"
